CustomerID,Frequency,Monetary,LastPurchaseDate,Recency
12346.0,1,77183.6,2011-01-18 10:01:00,325
12347.0,7,4310.0,2011-12-07 15:52:00,1
12348.0,4,1797.24,2011-09-25 13:13:00,74
12349.0,1,1757.55,2011-11-21 09:51:00,18
12350.0,1,334.4,2011-02-02 16:01:00,309
12352.0,8,2506.04,2011-11-03 14:37:00,35
12353.0,1,89.0,2011-05-19 17:47:00,203
12354.0,1,1079.4,2011-04-21 13:11:00,231
12355.0,1,459.4,2011-05-09 13:49:00,213
12356.0,3,2811.43,2011-11-17 08:40:00,22
12357.0,1,6207.67,2011-11-06 16:07:00,32
12358.0,2,1168.06,2011-12-08 10:26:00,1
12359.0,4,6310.03,2011-10-13 12:47:00,57
12360.0,3,2662.06,2011-10-18 15:22:00,51
12361.0,1,189.9,2011-02-25 13:51:00,286
12362.0,10,5226.23,2011-12-06 15:40:00,2
12363.0,2,552.0,2011-08-22 10:18:00,109
12364.0,4,1313.1,2011-12-02 10:22:00,7
12365.0,2,641.38,2011-02-21 14:04:00,290
12367.0,1,168.9,2011-12-05 16:48:00,3
12370.0,4,3541.94,2011-10-19 14:51:00,50
12371.0,2,1887.96,2011-10-26 10:16:00,44
12372.0,3,1298.04,2011-09-29 12:12:00,71
12373.0,1,364.6,2011-02-01 13:10:00,310
12374.0,1,742.9300000000001,2011-11-14 15:37:00,24
12375.0,2,457.5,2011-11-29 10:36:00,10
12377.0,2,1628.12,2011-01-28 15:45:00,314
12378.0,1,4008.62,2011-08-02 10:34:00,129
12379.0,2,852.24,2011-09-19 10:09:00,81
12380.0,4,2724.81,2011-11-18 11:27:00,21
12381.0,5,1845.31,2011-12-05 12:44:00,4
12383.0,5,1850.56,2011-06-08 08:02:00,184
12384.0,2,585.27,2011-11-11 08:39:00,28
12386.0,2,401.9,2011-01-06 12:37:00,337
12388.0,6,2780.66,2011-11-24 12:30:00,15
12390.0,1,549.84,2011-09-21 09:33:00,79
12391.0,1,439.66,2011-11-18 12:07:00,21
12393.0,4,1582.6000000000001,2011-09-28 15:41:00,71
12394.0,2,1272.48,2011-10-07 08:08:00,63
12395.0,12,3018.63,2011-11-20 15:21:00,18
12397.0,2,2409.9,2011-11-04 09:52:00,35
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,45
12399.0,4,1108.65,2011-08-12 13:15:00,118
12401.0,1,84.3,2011-02-09 13:50:00,302
12402.0,1,225.6,2011-01-20 13:49:00,322
12403.0,1,427.7,2011-10-21 10:51:00,49
12405.0,1,1710.39,2011-07-14 08:52:00,148
12406.0,2,3415.3,2011-11-17 19:22:00,21
12407.0,5,1708.1200000000001,2011-10-21 10:11:00,49
12408.0,5,2888.55,2011-11-07 12:27:00,32
12409.0,3,11072.67,2011-09-22 10:38:00,78
12410.0,2,693.3299999999999,2011-02-04 10:39:00,308
12412.0,3,1226.88,2011-09-26 10:16:00,74
12413.0,3,758.1,2011-10-04 09:00:00,66
12414.0,3,562.41,2011-05-06 14:51:00,216
12415.0,21,124914.53,2011-11-15 14:22:00,23
12417.0,9,3649.1,2011-12-06 14:52:00,2
12418.0,1,668.58,2011-08-19 11:08:00,112
12420.0,1,600.39,2011-10-07 08:55:00,63
12421.0,4,807.04,2011-11-24 09:07:00,15
12422.0,3,803.5600000000001,2011-09-05 09:48:00,95
12423.0,8,1859.31,2011-12-09 10:10:00,0
12424.0,2,1760.96,2011-06-30 12:06:00,162
12425.0,1,777.2,2011-09-22 17:31:00,77
12426.0,1,582.73,2011-05-29 12:26:00,194
12427.0,3,825.8,2011-11-18 08:56:00,21
12428.0,9,7956.46,2011-11-14 08:22:00,25
12429.0,4,3750.4,2011-11-30 17:22:00,8
12430.0,1,256.4,2011-10-27 15:09:00,42
12431.0,15,6419.95,2011-11-04 11:55:00,35
12432.0,5,5059.32,2011-10-28 11:43:00,42
12433.0,7,13375.87,2011-12-09 10:02:00,0
12434.0,2,806.14,2011-09-16 12:38:00,84
12435.0,2,7829.89,2011-09-21 09:06:00,79
12436.0,1,509.01,2011-09-01 12:09:00,99
12437.0,18,4951.41,2011-12-08 11:35:00,1
12438.0,2,2906.85,2011-11-25 13:28:00,13
12441.0,1,173.55,2010-12-08 10:45:00,366
12442.0,1,172.06,2011-12-06 14:22:00,2
12444.0,5,5005.46,2011-11-18 13:23:00,20
12445.0,1,133.4,2011-11-17 18:43:00,21
12446.0,1,1002.3100000000001,2011-10-13 12:50:00,57
12447.0,1,476.49,2011-04-10 13:25:00,242
12448.0,1,449.45,2011-10-26 13:46:00,43
12449.0,4,4067.29,2011-11-17 13:46:00,21
12450.0,2,197.88,2011-07-06 14:41:00,155
12451.0,5,9035.52,2011-11-29 08:40:00,10
12452.0,2,430.57,2011-11-23 10:28:00,16
12453.0,1,707.09,2011-07-28 14:08:00,133
12454.0,1,3528.34,2011-10-14 17:13:00,55
12455.0,6,2466.86,2011-09-27 15:31:00,72
12456.0,3,3181.04,2011-10-26 14:41:00,43
12457.0,7,2363.23,2011-10-04 13:13:00,65
12458.0,2,947.4,2011-09-29 15:25:00,70
12461.0,2,826.88,2011-09-06 16:57:00,93
12462.0,2,1189.59,2011-11-21 09:11:00,18
12463.0,4,1344.78,2011-10-17 13:44:00,52
12464.0,8,1212.05,2011-11-29 13:33:00,9
12465.0,2,742.1899999999999,2011-11-22 16:34:00,16
12468.0,2,729.5400000000001,2011-06-05 11:36:00,187
12471.0,30,19788.65,2011-12-07 15:43:00,1
12472.0,7,6572.11,2011-11-07 14:01:00,31
12473.0,5,3928.0499999999997,2011-11-10 13:46:00,28
12474.0,18,7324.09,2011-11-22 14:39:00,16
12475.0,1,723.38,2011-10-17 10:10:00,53
12476.0,11,6816.42,2011-11-24 12:40:00,15
12477.0,6,13219.74,2011-11-17 09:51:00,22
12478.0,1,680.99,2011-12-06 09:56:00,3
12479.0,1,527.2,2011-11-28 13:26:00,10
12480.0,4,3281.63,2011-11-11 14:52:00,27
12481.0,10,5579.82,2011-11-17 08:29:00,22
12483.0,8,2484.98,2011-11-22 17:02:00,16
12484.0,6,4527.32,2011-11-07 11:37:00,32
12488.0,3,1298.66,2011-11-30 08:50:00,9
12489.0,1,334.93,2011-01-07 13:13:00,335
12490.0,10,5417.93,2011-12-04 16:07:00,4
12491.0,1,460.40000000000003,2011-11-01 12:18:00,38
12492.0,2,263.21000000000004,2011-10-07 15:15:00,62
12493.0,2,433.74,2011-06-27 10:17:00,165
12494.0,7,1246.1000000000001,2011-11-24 09:34:00,15
12497.0,1,1043.1,2011-09-19 12:29:00,81
12498.0,3,403.70000000000005,2011-11-18 12:53:00,20
12500.0,11,4257.82,2011-11-16 16:20:00,22
12501.0,1,2169.39,2011-01-07 12:28:00,336
12502.0,5,3723.87,2011-09-05 11:52:00,95
12504.0,2,482.04999999999995,2011-11-21 16:02:00,17
12506.0,1,73.5,2011-04-21 08:54:00,232
12507.0,3,1304.81,2011-07-28 17:09:00,133
12508.0,2,397.88,2011-11-13 15:37:00,25
12509.0,1,176.5,2011-02-28 14:45:00,283
12510.0,2,982.5699999999999,2011-07-20 10:15:00,142
12512.0,2,132.18,2011-10-04 14:55:00,65
12513.0,1,612.29,2011-08-19 10:51:00,112
12514.0,1,1017.68,2011-03-17 16:38:00,266
12515.0,1,383.7,2010-12-21 15:43:00,352
12516.0,2,1312.06,2011-09-23 09:13:00,77
12517.0,5,2481.6,2011-11-11 14:04:00,27
12518.0,5,2056.89,2011-12-09 10:13:00,0
12519.0,1,330.84,2011-10-07 09:26:00,63
12520.0,5,2634.26,2011-09-21 15:23:00,78
12521.0,1,599.68,2011-07-20 10:51:00,142
12522.0,2,192.72,2011-10-31 15:30:00,38
12523.0,11,1789.77,2011-11-20 12:55:00,18
12524.0,8,4485.72,2011-11-30 15:31:00,8
12526.0,3,1316.66,2011-12-09 12:09:00,0
12527.0,3,348.71000000000004,2011-09-19 11:55:00,81
12528.0,6,1933.48,2011-11-30 14:40:00,8
12530.0,4,1662.28,2011-10-11 12:34:00,59
12531.0,1,125.22,2011-11-25 11:12:00,14
12532.0,1,349.83000000000004,2011-11-09 13:47:00,29
