CustomerID,Frequency,Monetary,LastPurchaseDate,Recency,Average_Order_Value,Monetary_log,Frequency_log,AOV_log,Cluster,Segment,PCA1,PCA2
12346.0,1,77183.6,2011-01-18 10:01:00,325,77183.6,11.253955234248428,0.6931471805599453,11.253955234248428,3,Loyal Customer,3.9321601878532917,7.81342399637906
12347.0,7,4310.0,2011-12-07 15:52:00,1,615.7142857142857,8.368925174747135,2.0794415416798357,6.424405846500164,0,VIP Customer,2.2440368758756852,0.13981836761507654
12348.0,4,1797.24,2011-09-25 13:13:00,74,449.31,7.494563687769957,1.6094379124341003,6.109936234478222,3,Loyal Customer,0.9787348269335496,0.3509552703628985
12349.0,1,1757.55,2011-11-21 09:51:00,18,1757.55,7.472244884833674,0.6931471805599453,7.472244884833674,3,Loyal Customer,1.2268014211201737,1.8759759238718496
12350.0,1,334.4,2011-02-02 16:01:00,309,334.4,5.815323849389109,0.6931471805599453,5.815323849389109,2,Lost Customer,-1.6749940192758719,1.58489308777426
12352.0,8,2506.04,2011-11-03 14:37:00,35,313.255,7.826858053356098,2.1972245773362196,5.750204758242745,0,VIP Customer,1.5608467411420197,-0.4806325579670548
12353.0,1,89.0,2011-05-19 17:47:00,203,89.0,4.499809670330265,0.6931471805599453,4.499809670330265,2,Lost Customer,-2.619287872611971,-0.47621130383657906
12354.0,1,1079.4,2011-04-21 13:11:00,231,1079.4,6.985086621918461,0.6931471805599453,6.985086621918461,3,Loyal Customer,-0.14045723155288667,2.482354819183741
12355.0,1,459.4,2011-05-09 13:49:00,213,459.4,6.132095676847728,0.6931471805599453,6.132095676847728,2,Lost Customer,-0.9573915249924249,1.4213686455710957
12356.0,3,2811.43,2011-11-17 08:40:00,22,937.1433333333333,7.941804157314053,1.3862943611198906,6.8439027447239775,3,Loyal Customer,1.6383408275644327,0.9752263025036519
12357.0,1,6207.67,2011-11-06 16:07:00,32,6207.67,8.733701981297274,0.6931471805599453,8.733701981297274,3,Loyal Customer,2.485841809780358,3.3765101980490457
12358.0,2,1168.06,2011-12-08 10:26:00,1,584.03,7.063955286074528,1.0986122886681098,6.371663127968259,3,Loyal Customer,0.8059141472093809,0.4232080990108851
12359.0,4,6310.03,2011-10-13 12:47:00,57,1577.5075,8.750054175177759,1.6094379124341003,7.364235059332973,3,Loyal Customer,2.3559518967108604,1.6752524771446158
12360.0,3,2662.06,2011-10-18 15:22:00,51,887.3533333333334,7.887231116540211,1.3862943611198906,6.789369561749692,3,Loyal Customer,1.464467420616979,1.0710974392842507
12361.0,1,189.9,2011-02-25 13:51:00,286,189.9,5.251749730731702,0.6931471805599453,5.251749730731702,2,Lost Customer,-2.1699393313075843,0.8235871365625094
12362.0,10,5226.23,2011-12-06 15:40:00,2,522.6229999999999,8.56163678004062,2.3978952727983707,6.260771959732571,0,VIP Customer,2.4935437557010047,-0.157833992520616
12363.0,2,552.0,2011-08-22 10:18:00,109,276.0,6.315358001522335,1.0986122886681098,5.6240175061873385,3,Loyal Customer,-0.40990510945788833,0.16518561503490736
12364.0,4,1313.1,2011-12-02 10:22:00,7,328.275,7.180907299649593,1.6094379124341003,5.79689326788511,3,Loyal Customer,0.9222452151327767,-0.3664228547695876
12365.0,2,641.38,2011-02-21 14:04:00,290,320.69,6.465180028897591,1.0986122886681098,5.773588348900164,2,Lost Customer,-0.9839387489337851,1.3168873074631442
12367.0,1,168.9,2011-12-05 16:48:00,3,168.9,5.135210028677887,0.6931471805599453,5.135210028677887,1,At Risk Customer,-1.1498752954232896,-0.8446004636130313
12370.0,4,3541.94,2011-10-19 14:51:00,50,885.485,8.172712169921061,1.6094379124341003,6.787264204897337,3,Loyal Customer,1.782309243345866,0.9856406903801108
12371.0,2,1887.96,2011-10-26 10:16:00,44,943.98,7.543781692052325,1.0986122886681098,6.851163763248618,3,Loyal Customer,1.132666207192159,1.1982103222990739
12372.0,3,1298.04,2011-09-29 12:12:00,71,432.68,7.169380809114136,1.3862943611198906,6.072306934952083,3,Loyal Customer,0.6356074947921665,0.3698271047124215
12373.0,1,364.6,2011-02-01 13:10:00,310,364.6,5.901539839579995,0.6931471805599453,5.901539839579995,2,Lost Customer,-1.5891172700200433,1.687683424899403
12374.0,1,742.9300000000001,2011-11-14 15:37:00,24,742.9300000000001,6.6119469443852195,0.6931471805599453,6.6119469443852195,3,Loyal Customer,0.30543304478212424,0.9370491725557079
12375.0,2,457.5,2011-11-29 10:36:00,10,228.75,6.127960291696519,1.0986122886681098,5.436991761235796,1,At Risk Customer,-0.20577230346096756,-0.583600195627399
12377.0,2,1628.12,2011-01-28 15:45:00,314,814.06,7.395795270713971,1.0986122886681098,6.703261730162972,2,Lost Customer,-0.11077278310355303,2.4971763090956927
12378.0,1,4008.62,2011-08-02 10:34:00,129,4008.62,8.29645175271804,0.6931471805599453,8.29645175271804,3,Loyal Customer,1.6385640547011397,3.409412202658811
12379.0,2,852.24,2011-09-19 10:09:00,81,426.12,6.749040867823617,1.0986122886681098,6.057065004191931,3,Loyal Customer,0.15496445221071148,0.5022695051324724
